"BillType","BillNumber","Sequence","Sponsor","Type","Status","SponDate","WithDate","ModDate"
"S",1870,1,"Space, Parker","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1871,1,"Space, Parker","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1872,1,"Space, Parker","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1873,1,"Space, Parker","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1874,1,"Space, Parker","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1875,1,"Space, Parker","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1876,1,"Space, Parker","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",1877,1,"Space, Parker","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1878,1,"Space, Parker","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1879,1,"Space, Parker","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1880,1,"Space, Parker","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1880,2,"McKnight, Angela V.","P","A",9/26/2024 0:00:00,,9/26/2024 0:00:00
"S",1881,1,"Space, Parker","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1882,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1883,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,1/18/2024 0:00:00
"S",1883,2,"Steinhardt, Douglas J.","P","A",12/5/2024 0:00:00,,12/5/2024 0:00:00
"S",1884,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,1/18/2024 0:00:00
"S",1885,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1885,2,"Singer, Robert W.","C","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1885,3,"Beach, James","C","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1885,4,"Vitale, Joseph F.","C","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1885,5,"Pennacchio, Joseph","C","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1885,6,"Pou, Nellie","C","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1885,7,"Cruz-Perez, Nilsa I.","C","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1885,8,"Singleton, Troy","C","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1886,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1886,2,"Steinhardt, Douglas J.","P","A",12/5/2024 0:00:00,,12/5/2024 0:00:00
"S",1887,1,"Amato, Carmen F.","P","A",1/9/2024 0:00:00,,12/27/2023 0:00:00
"S",1887,2,"Singleton, Troy","P","A",6/13/2024 0:00:00,,6/13/2024 0:00:00
"S",1887,3,"Stack, Brian P.","C","A",6/17/2024 0:00:00,,6/17/2024 0:00:00
"S",1887,4,"Holzapfel, James W.","C","A",10/24/2024 0:00:00,,10/24/2024 0:00:00
"S",1887,5,"McKnight, Angela V.","C","A",10/28/2024 0:00:00,,10/28/2024 0:00:00
